species,coeff1,coeff2,coeff3,coeff4,coeff5
Ca2Al2Si07,5.91397B+04,-1.72786E+06,4.31215E+02,-6.84213E-03,2.20784E-07
Ca2MgSi207,1.319755+05,-1.68718E+06,4.22753E+02,-6.38360E-03,2.70814E-07
