H,1,12
C,6,8.5695
N,7,8.0704
O,8,8.83
E,9,4.8867
Na,11,6.2757
Mg,12,7.5233
Al,13,6.427
Si,14,7.4976
P,15,5.4798
S,16,7.1965
Cl,17,5.2534
K,19,5.1208
Ca,20,6.3555
Sc,21,3.0416
Ti,22,4.9408
V,23,3.9159
Cr,24,5.6014
Mn,25,5.4661
Fe,26,7.4167
Ni,28,6.1788
Cu,29,4.23
Br,35,2.6279
Sr,38,2.9273
Y,39,2.1788
Zr,40,2.9447
